Algorithm,Problem,Population,Crossover,Mutation,Time
moead,MOP3,100,0.19290317513220617,0.0029786901572330642,None
moead,MOP4,100,0.10027835148852411,0.12844159327999838,None
moead,MOP2,500,0.10982787984853697,0.15202585178736416,None
cmpso,MOP1,300,None,0.021838059204849315,200
moead,MOP6,100,0.17279346035167914,0.0494485821426806,None
cmpso,MOP2,100,None,0.1,100
cmpso,MOP3,100,None,0.1,100
nsgaii,MOP5,100,0.2286668241335812,0.01687865245276683,None
nsgaii,MOP7,100,0.1581130814834614,0.03668151129185513,None
nsgaiii,MOP4,1000,0.641019173082192,0.15751096654063607,None
nsgaiii,MOP6,100,0.21511756062238696,0.044117246260894374,None
nsgaiii,MOP3,100,0.55,0.1,None
nsgaiii,MOP5,100,0.5803320355155208,0.13501239311261284,None
nsgaii,MOP1,100,0.24467955677229905,0.0053687159820786645,None
nsgaii,MOP6,100,0.21511756062238696,0.044117246260894374,None
nsgaiii,MOP1,100,0.348136113199602,0.0006650262365320847,None
omopso,MOP3,100,None,0.05295261429325109,1000
omopso,MOP2,100,None,0.1,100
omopso,MOP5,700,None,0.0861325567809161,500
cmpso,MOP4,1000,None,0.10070037754355937,800
nsgaiii,MOP2,100,0.55,0.1,None
nsgaii,MOP4,800,0.8705764899279005,0.11685341101216361,None
nsgaii,MOP3,100,0.4062770790004975,0.06264221243618465,None
nsgaii,MOP2,1000,0.7269863410590842,0.03471025399437577,None
nsgaiii,MOP7,100,0.401010754143738,0.02670446971823819,None
omopso,MOP1,800,None,0.17947562324362615,1000
omopso,MOP4,1000,None,0.09007319640086515,300
cmpso,MOP5,900,None,0.000595149868650835,1000
omopso,IMB9,800,None,0.18009614066715618,100
omopso,IMB8,1000,None,0.1656287328007473,200
omopso,IMB7,300,None,0.16100994578497638,400
moead,MOP7,100,0.21511756062238696,0.044117246260894374,None
omopso,IMB12,800,None,0.1922902779246755,1000
omopso,IMB11,1000,None,0.18341259408969882,400
omopso,IMB13,100,None,0.11178951897984231,100
omopso,IMB10,500,None,0.1886225491801031,900
cmpso,IMB11,100,None,0.044117246260894374,200
omopso,IMB14,1000,None,0.19467002831701422,100
cmpso,IMB13,900,None,0.07120093434446606,500
cmpso,IMB12,300,None,0.07894725191770256,500
smpso,IMB7,100,None,0.10161826655690279,100
smpso,IMB9,1000,None,0.07809605118117177,100
smpso,IMB8,900,None,0.19724170671976848,100
cmpso,IMB7,800,None,0.05954116323828791,1000
cmpso,IMB1,1000,None,0.04292673758487338,300
cmpso,IMB9,900,None,0.15380666554421157,800
cmpso,IMB3,1000,None,0.08873885081989169,800
cmpso,IMB2,900,None,0.08645046315092707,500
cmpso,IMB8,1000,None,0.04193180440161564,900
smpso,IMB14,300,None,0.19218917916707362,100
cmpso,IMB14,1000,None,0.06351832957084405,600
smpso,IMB10,200,None,0.10814518490645675,100
omopso,MOP7,700,None,0.06233147677624445,600
cmpso,IMB10,1000,None,0.15055456592841637,200
smpso,IMB6,700,None,0.1719464153565946,100
smpso,IMB3,100,None,0.044117246260894374,200
smpso,IMB11,300,None,0.12727234155556322,100
smpso,IMB12,100,None,0.003155295355101773,100
smpso,IMB1,300,None,0.08549441676582975,300
smpso,IMB5,300,None,0.16754620292369723,100
omopso,MOP6,800,None,0.06657727740763031,1000
smpso,IMB2,100,None,0.006076317308839819,300
smpso,IMB13,100,None,0.044117246260894374,200
omopso,IMB1,900,None,0.07972249464764518,900
ibea,MOP4,100,0.55,0.1,None
ibea,MOP3,100,0.55,0.1,None
ibea,MOP1,100,0.11146392597034906,0.11160921120623427,None
smpso,IMB4,1000,None,0.1419485686426791,100
ibea,MOP5,100,0.21511756062238696,0.044117246260894374,None
ibea,MOP2,100,0.55,0.1,None
omopso,IMB3,100,None,0.19494626266338988,900
omopso,IMB2,400,None,0.013911967104887447,700
cmpso,MOP6,100,None,0.09705281352392899,200
ibea,MOP7,100,0.55,0.1,None
ibea,MOP6,100,0.11146392597034906,0.11160921120623427,None
cmpso,MOP7,700,None,0.05667422255071182,600
cmpso,MOP7,700,None,0.12392240982874343,400
cmpso,IMB4,1000,None,0.06100358350086874,800
cmpso,IMB6,800,None,0.12046012963498674,500
cmpso,IMB5,1000,None,0.013088456406912675,800
omopso,IMB4,500,None,0.020826625473640826,600
omopso,IMB5,100,None,0.03384383547727112,900
omopso,IMB6,100,None,0.10426616700763258,900
moead,IMB1,100,0.7278388940467923,0.00012425115109561334,None
moead,IMB3,100,0.1891623516324695,0.019986583411076064,None
moead,IMB2,100,0.5628754630078985,0.06831578695445188,None
nsgaii,IMB2,1000,0.9854664830969657,0.020322992461145876,None
nsgaii,IMB1,500,0.1086728447960143,0.0018658801020353666,None
moead,IMB4,100,0.9330168958594465,0.07576214246294982,None
nsgaii,IMB4,100,0.11144054365823204,0.005043997913174603,None
nsgaii,IMB3,800,0.929812008235861,0.06066390816258765,None
nsgaii,IMB5,100,0.11146392597034906,0.11160921120623427,None
nsgaii,IMB8,900,0.207703088769646,0.18725512120358181,None
nsgaii,IMB6,100,0.16615396316700287,0.007827664615235942,None
nsgaii,IMB7,1000,0.19579641275354653,0.17094872099477607,None
moead,IMB5,100,0.9806719102874942,0.01633041082271789,None
